company,avg_volume,segmento_volume
Apple Inc.,256325536.41088352,Alto Volume
Adobe Inc.,3814336.655457047,Alto Volume
"Amazon.com, Inc.",88339985.05044329,Alto Volume
"Salesforce, Inc.",6910973.4637725465,Alto Volume
"Cisco Systems, Inc.",32696560.2568022,Alto Volume
Alphabet Inc.,60186468.937939465,Alto Volume
International Business Machines Corporation,5036544.904616325,Alto Volume
Intel Corporation,36071695.50596148,Alto Volume
"Meta Platforms, Inc.",31178146.688988097,Alto Volume
Microsoft Corporation,38016469.33659431,Alto Volume
"Netflix, Inc.",18414854.14246408,Alto Volume
NVIDIA Corporation,50806126.59737083,Alto Volume
Oracle Corporation,18018558.60593091,Alto Volume
"Tesla, Inc.",93516465.69250317,Alto Volume
